,count_spelling_errors,text_length,num_sentences,num_words,avg_word_length,num_unique_words,function_word_frequency,content_word_frequency,spelling_errors,quote_frequency,uppercase_frequency,punctuation_frequency,adverb_frequency,past_tense_verb_frequency,present_tense_verb_frequency,pronoun_frequency,coordinating_conjunction_frequency,negative_word_proportion,named_entity_frequency,adjective_frequency,proper_noun_frequency,modal_frequency,determiner_frequency,interrogative_adverb_frequency,interrogative_pronoun_frequency,preposition_frequency,negation_adverb_frequency,degree_adverb_frequency,manner_adverb_frequency,demonstrative_pronoun_frequency,possessive_pronoun_frequency,reflexive_pronoun_frequency,reciprocal_pronoun_frequency,indefinite_pronoun_frequency,possessive_adjective_frequency,demonstrative_adjective_frequency,indefinite_adjective_frequency,interrogative_adjective_frequency,exclamatory_adjective_frequency,auxiliary_verb_frequency,modal_verb_frequency,modifier_adverb_frequency,linking_adverb_frequency,place_adverb_frequency,subordinating_conjunction_frequency,correlative_conjunction_frequency,interjection_frequency,onomatopoeia_frequency,palindrome_frequency
2434,15.0,1845.0,13.0,367.0,4.073569482288828,154.0,172.0,195.0,15.0,0.0,25.0,31.0,18.0,1.0,62.0,31.0,16.0,0.108,3.0,33.0,2.0,3.0,30.0,2.0,1.0,45.0,6.0,2.0,1.0,9.0,7.0,1.0,0.0,20.0,7.0,9.0,8.0,1.0,1.0,14.0,3.0,2.0,0.0,5.0,10.0,6.0,0.0,0.0,17.0
2435,8.0,1492.0,14.0,291.0,4.1993127147766325,133.0,123.0,168.0,8.0,0.0,30.0,26.0,9.0,2.0,38.0,17.0,9.0,0.019,1.0,24.0,4.0,12.0,31.0,2.0,0.0,26.0,5.0,0.0,2.0,2.0,6.0,0.0,0.0,4.0,6.0,2.0,1.0,3.0,0.0,19.0,12.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,14.0
2436,6.0,1680.0,13.0,335.0,4.050746268656717,147.0,144.0,191.0,6.0,0.0,20.0,30.0,19.0,1.0,60.0,23.0,13.0,0.08,0.0,26.0,1.0,12.0,29.0,1.0,4.0,40.0,3.0,1.0,0.0,8.0,2.0,0.0,0.0,15.0,2.0,8.0,10.0,0.0,1.0,19.0,11.0,1.0,0.0,0.0,5.0,7.0,0.0,0.0,18.0
2437,10.0,930.0,9.0,195.0,3.753846153846154,98.0,92.0,103.0,10.0,0.0,16.0,20.0,15.0,2.0,40.0,16.0,4.0,0.076,8.0,12.0,2.0,10.0,25.0,0.0,0.0,15.0,6.0,0.0,0.0,3.0,1.0,0.0,0.0,7.0,1.0,3.0,3.0,0.0,0.0,16.0,9.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,10.0
2438,13.0,1435.0,13.0,270.0,4.32962962962963,124.0,130.0,140.0,13.0,0.0,27.0,25.0,12.0,0.0,42.0,15.0,11.0,0.146,0.0,15.0,3.0,9.0,40.0,0.0,3.0,28.0,5.0,1.0,1.0,17.0,2.0,0.0,0.0,8.0,2.0,17.0,8.0,0.0,0.0,17.0,8.0,1.0,0.0,4.0,4.0,4.0,0.0,0.0,5.0
2439,14.0,1103.0,5.0,215.0,4.125581395348838,93.0,113.0,102.0,14.0,0.0,10.0,12.0,4.0,0.0,41.0,19.0,11.0,0.046,0.0,14.0,0.0,9.0,22.0,5.0,0.0,23.0,0.0,0.0,1.0,9.0,2.0,0.0,0.0,6.0,2.0,9.0,1.0,0.0,0.0,20.0,9.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,15.0
2440,13.0,1433.0,10.0,278.0,4.176258992805756,124.0,126.0,152.0,13.0,0.0,12.0,19.0,16.0,1.0,52.0,25.0,12.0,0.153,0.0,24.0,0.0,9.0,20.0,0.0,4.0,32.0,2.0,3.0,1.0,6.0,0.0,0.0,0.0,16.0,0.0,6.0,4.0,2.0,2.0,19.0,7.0,3.0,0.0,3.0,10.0,4.0,1.0,0.0,10.0
2441,18.0,2988.0,25.0,647.0,3.6754250386398764,176.0,335.0,312.0,18.0,0.0,90.0,36.0,27.0,7.0,94.0,28.0,27.0,0.072,3.0,24.0,24.0,23.0,93.0,6.0,0.0,76.0,7.0,1.0,3.0,40.0,1.0,0.0,0.0,11.0,1.0,40.0,8.0,0.0,0.0,40.0,23.0,1.0,0.0,8.0,5.0,6.0,0.0,0.0,36.0
2442,7.0,2506.0,19.0,508.0,3.9763779527559056,175.0,237.0,271.0,7.0,0.0,24.0,36.0,22.0,18.0,71.0,39.0,24.0,0.097,7.0,23.0,1.0,17.0,57.0,3.0,1.0,66.0,9.0,0.0,2.0,22.0,4.0,0.0,0.0,14.0,4.0,22.0,6.0,1.0,1.0,34.0,16.0,0.0,0.0,3.0,11.0,17.0,0.0,0.0,25.0
2443,6.0,1672.0,20.0,324.0,4.234567901234568,140.0,140.0,184.0,6.0,0.0,31.0,37.0,16.0,0.0,57.0,17.0,5.0,0.129,2.0,23.0,4.0,8.0,20.0,2.0,3.0,41.0,10.0,1.0,3.0,10.0,3.0,0.0,0.0,9.0,3.0,10.0,6.0,3.0,4.0,24.0,8.0,1.0,0.0,4.0,4.0,2.0,0.0,0.0,7.0
2444,7.0,1426.0,11.0,292.0,3.9315068493150687,152.0,131.0,161.0,7.0,0.0,49.0,21.0,23.0,1.0,49.0,22.0,14.0,0.067,1.0,18.0,12.0,4.0,23.0,2.0,0.0,35.0,7.0,3.0,2.0,7.0,10.0,0.0,0.0,5.0,10.0,7.0,2.0,0.0,0.0,11.0,4.0,3.0,0.0,2.0,7.0,4.0,0.0,0.0,4.0
2445,5.0,3560.0,33.0,692.0,4.202312138728324,225.0,328.0,364.0,5.0,0.0,50.0,54.0,49.0,6.0,103.0,58.0,24.0,0.074,2.0,36.0,4.0,20.0,71.0,1.0,10.0,70.0,18.0,0.0,9.0,21.0,16.0,1.0,0.0,21.0,16.0,21.0,18.0,7.0,7.0,45.0,20.0,0.0,0.0,5.0,10.0,12.0,0.0,0.0,16.0
2446,7.0,897.0,6.0,184.0,3.9130434782608696,111.0,86.0,98.0,7.0,0.0,9.0,17.0,9.0,1.0,30.0,19.0,16.0,0.062,2.0,15.0,1.0,3.0,10.0,3.0,1.0,20.0,1.0,1.0,1.0,6.0,3.0,1.0,0.0,5.0,3.0,6.0,1.0,1.0,1.0,7.0,3.0,1.0,0.0,1.0,2.0,6.0,0.0,0.0,8.0
2447,16.0,2127.0,13.0,415.0,4.118072289156626,149.0,185.0,230.0,16.0,0.0,26.0,37.0,22.0,1.0,62.0,23.0,21.0,0.086,2.0,35.0,5.0,12.0,35.0,0.0,0.0,58.0,6.0,0.0,2.0,17.0,4.0,0.0,0.0,6.0,4.0,17.0,3.0,0.0,3.0,29.0,12.0,0.0,0.0,0.0,12.0,4.0,0.0,0.0,24.0
2448,6.0,794.0,10.0,156.0,4.160256410256411,90.0,62.0,94.0,6.0,0.0,11.0,14.0,12.0,0.0,25.0,3.0,9.0,0.199,0.0,5.0,1.0,6.0,13.0,1.0,0.0,20.0,4.0,1.0,1.0,7.0,0.0,0.0,0.0,5.0,0.0,7.0,0.0,0.0,0.0,9.0,4.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,5.0
2449,6.0,1710.0,19.0,359.0,3.8105849582172704,146.0,167.0,192.0,6.0,0.0,33.0,38.0,12.0,3.0,55.0,19.0,13.0,0.097,1.0,22.0,5.0,10.0,25.0,2.0,2.0,40.0,6.0,2.0,1.0,12.0,2.0,0.0,0.0,10.0,2.0,12.0,4.0,2.0,2.0,25.0,10.0,2.0,0.0,1.0,5.0,6.0,0.0,0.0,10.0
2450,3.0,1451.0,6.0,292.0,4.051369863013699,129.0,150.0,142.0,3.0,0.0,16.0,25.0,17.0,0.0,60.0,36.0,31.0,0.079,0.0,19.0,0.0,7.0,15.0,4.0,2.0,24.0,8.0,1.0,0.0,7.0,6.0,0.0,0.0,10.0,6.0,7.0,1.0,2.0,2.0,19.0,7.0,1.0,0.0,2.0,8.0,9.0,0.0,0.0,4.0
2451,6.0,2265.0,20.0,454.0,4.041850220264317,185.0,216.0,238.0,6.0,0.0,28.0,42.0,30.0,6.0,83.0,39.0,21.0,0.059,2.0,21.0,4.0,13.0,36.0,3.0,2.0,47.0,9.0,3.0,0.0,18.0,8.0,0.0,0.0,13.0,8.0,18.0,6.0,2.0,3.0,29.0,13.0,3.0,0.0,2.0,7.0,8.0,0.0,0.0,8.0
2452,10.0,2694.0,25.0,532.0,4.135338345864661,152.0,216.0,316.0,10.0,0.0,36.0,58.0,41.0,7.0,83.0,36.0,24.0,0.14,5.0,32.0,6.0,18.0,46.0,2.0,2.0,42.0,15.0,2.0,6.0,16.0,2.0,0.0,0.0,28.0,2.0,16.0,8.0,2.0,2.0,40.0,18.0,2.0,1.0,3.0,10.0,11.0,0.0,0.0,11.0
2453,12.0,2972.0,21.0,548.0,4.463503649635037,214.0,225.0,323.0,12.0,0.0,99.0,43.0,22.0,11.0,71.0,38.0,23.0,0.079,2.0,40.0,20.0,19.0,49.0,1.0,4.0,58.0,4.0,2.0,10.0,14.0,19.0,0.0,0.0,7.0,19.0,14.0,5.0,5.0,4.0,30.0,18.0,2.0,0.0,1.0,3.0,1.0,0.0,0.0,12.0
2454,8.0,2570.0,29.0,573.0,3.600349040139616,192.0,277.0,296.0,8.0,0.0,38.0,82.0,48.0,6.0,107.0,60.0,27.0,0.104,4.0,22.0,8.0,9.0,49.0,1.0,5.0,44.0,5.0,5.0,4.0,25.0,1.0,0.0,0.0,24.0,1.0,25.0,18.0,2.0,2.0,48.0,7.0,5.0,0.0,9.0,8.0,14.0,0.0,0.0,9.0
2455,5.0,2166.0,18.0,418.0,4.22488038277512,193.0,180.0,238.0,5.0,0.0,30.0,43.0,17.0,10.0,54.0,44.0,17.0,0.128,1.0,19.0,5.0,7.0,35.0,1.0,3.0,47.0,8.0,2.0,3.0,7.0,19.0,0.0,0.0,12.0,19.0,7.0,6.0,2.0,2.0,13.0,7.0,2.0,0.0,0.0,1.0,10.0,0.0,0.0,9.0
2456,8.0,2364.0,21.0,458.0,4.192139737991266,152.0,199.0,259.0,8.0,0.0,35.0,42.0,29.0,0.0,71.0,22.0,11.0,0.085,4.0,25.0,6.0,26.0,55.0,2.0,4.0,51.0,13.0,2.0,4.0,18.0,7.0,0.0,0.0,8.0,7.0,18.0,6.0,4.0,4.0,36.0,25.0,2.0,0.0,0.0,5.0,4.0,0.0,0.0,11.0
2457,21.0,3428.0,39.0,796.0,3.4849246231155777,268.0,274.0,522.0,21.0,0.0,168.0,138.0,37.0,13.0,121.0,64.0,28.0,0.039,9.0,58.0,50.0,13.0,64.0,7.0,5.0,59.0,4.0,0.0,2.0,18.0,8.0,0.0,0.0,24.0,8.0,18.0,10.0,3.0,2.0,27.0,13.0,0.0,0.0,2.0,12.0,5.0,1.0,0.0,27.0
2458,32.0,4603.0,57.0,969.0,3.7905056759545923,294.0,438.0,531.0,32.0,0.0,125.0,69.0,68.0,9.0,176.0,98.0,48.0,0.11,4.0,52.0,21.0,37.0,84.0,5.0,9.0,68.0,25.0,5.0,2.0,22.0,2.0,0.0,0.0,9.0,2.0,22.0,4.0,9.0,11.0,64.0,37.0,5.0,0.0,5.0,8.0,14.0,1.0,0.0,28.0
2459,10.0,2095.0,28.0,421.0,4.016627078384798,189.0,175.0,246.0,10.0,0.0,41.0,42.0,24.0,3.0,70.0,40.0,17.0,0.068,0.0,18.0,3.0,12.0,35.0,4.0,6.0,42.0,1.0,0.0,3.0,5.0,5.0,0.0,0.0,11.0,5.0,5.0,6.0,5.0,6.0,29.0,12.0,0.0,0.0,4.0,5.0,6.0,0.0,0.0,28.0
2460,9.0,1535.0,14.0,302.0,4.069536423841059,147.0,137.0,165.0,9.0,0.0,24.0,21.0,19.0,3.0,59.0,46.0,15.0,0.133,3.0,14.0,1.0,11.0,16.0,2.0,5.0,33.0,5.0,2.0,0.0,4.0,4.0,0.0,0.0,14.0,4.0,4.0,4.0,5.0,5.0,19.0,11.0,2.0,0.0,1.0,6.0,6.0,0.0,0.0,24.0
2461,4.0,338.0,4.0,77.0,3.5064935064935066,38.0,43.0,34.0,4.0,0.0,22.0,4.0,5.0,0.0,13.0,10.0,5.0,0.189,0.0,9.0,5.0,2.0,4.0,0.0,2.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,3.0,2.0,2.0,6.0,2.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,4.0
2462,10.0,2287.0,21.0,436.0,4.31651376146789,192.0,172.0,264.0,10.0,0.0,51.0,40.0,19.0,2.0,56.0,21.0,18.0,0.081,5.0,36.0,11.0,13.0,46.0,5.0,1.0,44.0,6.0,3.0,3.0,8.0,5.0,0.0,0.0,7.0,5.0,8.0,3.0,0.0,0.0,21.0,13.0,3.0,0.0,2.0,5.0,13.0,0.0,0.0,19.0
2463,26.0,3210.0,48.0,693.0,3.7027417027417027,271.0,299.0,394.0,26.0,0.0,70.0,78.0,37.0,7.0,114.0,63.0,41.0,0.105,4.0,45.0,10.0,19.0,68.0,6.0,7.0,50.0,5.0,6.0,3.0,16.0,4.0,0.0,0.0,14.0,4.0,16.0,9.0,3.0,3.0,49.0,19.0,6.0,0.0,8.0,2.0,15.0,1.0,0.0,26.0
2464,5.0,798.0,10.0,168.0,3.767857142857143,89.0,91.0,77.0,5.0,0.0,13.0,14.0,4.0,1.0,28.0,21.0,5.0,0.012,1.0,7.0,1.0,5.0,17.0,2.0,0.0,26.0,1.0,0.0,0.0,9.0,2.0,0.0,0.0,3.0,2.0,9.0,2.0,0.0,0.0,11.0,5.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,2.0
2465,9.0,1936.0,12.0,386.0,4.05699481865285,139.0,200.0,186.0,9.0,0.0,23.0,20.0,20.0,4.0,66.0,29.0,21.0,0.071,1.0,18.0,2.0,10.0,37.0,2.0,4.0,50.0,9.0,1.0,0.0,17.0,1.0,0.0,0.0,7.0,1.0,17.0,4.0,4.0,4.0,21.0,10.0,1.0,0.0,6.0,11.0,11.0,0.0,0.0,13.0
2466,11.0,2982.0,31.0,590.0,4.164406779661017,242.0,237.0,353.0,11.0,0.0,69.0,73.0,28.0,3.0,102.0,46.0,34.0,0.068,1.0,31.0,9.0,22.0,43.0,5.0,2.0,50.0,7.0,3.0,2.0,18.0,11.0,0.0,0.0,5.0,11.0,18.0,3.0,2.0,3.0,40.0,20.0,3.0,0.0,1.0,8.0,8.0,2.0,0.0,16.0
2467,14.0,3013.0,40.0,643.0,3.8164852255054433,253.0,267.0,376.0,14.0,0.0,52.0,102.0,43.0,3.0,115.0,65.0,31.0,0.17,5.0,39.0,2.0,14.0,49.0,5.0,10.0,49.0,6.0,2.0,3.0,10.0,9.0,0.0,0.0,12.0,9.0,10.0,3.0,6.0,6.0,27.0,13.0,2.0,0.0,0.0,13.0,17.0,0.0,0.0,17.0
2468,18.0,680.0,2.0,120.0,4.7,82.0,48.0,72.0,18.0,0.0,10.0,6.0,6.0,0.0,23.0,9.0,5.0,0.092,4.0,12.0,1.0,2.0,5.0,0.0,1.0,11.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,6.0,3.0,0.0,2.0,1.0,1.0,6.0,2.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,4.0
2469,11.0,2179.0,20.0,421.0,4.2137767220902616,193.0,177.0,244.0,11.0,0.0,61.0,37.0,12.0,5.0,63.0,31.0,22.0,0.127,2.0,37.0,16.0,11.0,35.0,3.0,4.0,42.0,3.0,2.0,3.0,13.0,6.0,0.0,0.0,7.0,6.0,13.0,5.0,0.0,0.0,22.0,11.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,21.0
2470,10.0,1613.0,13.0,336.0,3.8363095238095237,152.0,134.0,202.0,10.0,0.0,56.0,35.0,13.0,12.0,53.0,18.0,12.0,0.063,1.0,20.0,14.0,5.0,27.0,1.0,2.0,30.0,4.0,2.0,1.0,3.0,3.0,1.0,0.0,5.0,3.0,3.0,2.0,2.0,2.0,13.0,5.0,2.0,0.0,1.0,4.0,2.0,1.0,0.0,10.0
2471,11.0,1867.0,12.0,370.0,4.083783783783784,170.0,174.0,196.0,11.0,0.0,16.0,30.0,28.0,1.0,69.0,34.0,21.0,0.047,2.0,21.0,2.0,15.0,29.0,5.0,4.0,29.0,14.0,2.0,2.0,15.0,4.0,0.0,0.0,11.0,4.0,15.0,4.0,2.0,2.0,25.0,15.0,2.0,0.0,3.0,7.0,11.0,0.0,0.0,9.0
2472,11.0,1649.0,16.0,357.0,3.7591036414565826,157.0,143.0,214.0,11.0,0.0,90.0,41.0,29.0,11.0,55.0,34.0,7.0,0.167,3.0,23.0,26.0,6.0,27.0,6.0,1.0,31.0,2.0,2.0,5.0,9.0,5.0,0.0,0.0,10.0,5.0,9.0,4.0,1.0,1.0,13.0,5.0,2.0,0.0,1.0,5.0,2.0,0.0,0.0,7.0
2473,16.0,2476.0,28.0,527.0,3.804554079696395,210.0,246.0,281.0,16.0,0.0,97.0,64.0,22.0,7.0,93.0,56.0,25.0,0.025,4.0,30.0,16.0,7.0,41.0,2.0,6.0,59.0,4.0,1.0,0.0,17.0,5.0,1.0,0.0,8.0,5.0,17.0,6.0,5.0,5.0,17.0,7.0,1.0,0.0,4.0,8.0,10.0,0.0,0.0,23.0
2474,23.0,1426.0,9.0,297.0,3.952861952861953,158.0,114.0,183.0,23.0,0.0,55.0,42.0,13.0,4.0,48.0,25.0,8.0,0.092,3.0,20.0,18.0,12.0,20.0,4.0,1.0,28.0,3.0,0.0,1.0,6.0,4.0,1.0,0.0,7.0,4.0,6.0,5.0,2.0,2.0,24.0,11.0,0.0,0.0,0.0,10.0,2.0,1.0,0.0,8.0
2475,15.0,306.0,3.0,64.0,3.3125,46.0,30.0,34.0,15.0,0.0,3.0,2.0,1.0,0.0,15.0,8.0,0.0,0.036,1.0,2.0,0.0,1.0,5.0,0.0,1.0,8.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2476,5.0,2333.0,20.0,485.0,3.88659793814433,178.0,228.0,257.0,5.0,0.0,36.0,51.0,41.0,16.0,70.0,56.0,24.0,0.089,3.0,19.0,3.0,17.0,38.0,1.0,3.0,57.0,3.0,1.0,6.0,19.0,2.0,0.0,0.0,24.0,2.0,19.0,9.0,3.0,3.0,34.0,15.0,1.0,0.0,1.0,14.0,9.0,1.0,0.0,20.0
2477,18.0,1893.0,18.0,390.0,3.9,189.0,179.0,211.0,18.0,0.0,30.0,33.0,31.0,5.0,66.0,37.0,15.0,0.134,0.0,21.0,5.0,14.0,36.0,3.0,6.0,36.0,7.0,8.0,1.0,21.0,4.0,0.0,0.0,14.0,4.0,21.0,8.0,5.0,5.0,25.0,14.0,8.0,0.0,1.0,5.0,9.0,0.0,0.0,6.0
2478,19.0,1161.0,2.0,252.0,3.6507936507936507,121.0,134.0,118.0,19.0,0.0,10.0,12.0,27.0,5.0,40.0,23.0,13.0,0.075,1.0,15.0,1.0,1.0,21.0,1.0,0.0,31.0,6.0,2.0,0.0,1.0,5.0,0.0,0.0,7.0,5.0,1.0,5.0,0.0,1.0,6.0,1.0,2.0,0.0,1.0,8.0,7.0,0.0,0.0,8.0
2479,7.0,2280.0,24.0,451.0,4.106430155210643,181.0,188.0,263.0,7.0,0.0,58.0,49.0,29.0,4.0,75.0,30.0,16.0,0.087,3.0,34.0,8.0,12.0,46.0,2.0,4.0,46.0,5.0,2.0,4.0,12.0,0.0,0.0,0.0,12.0,0.0,12.0,6.0,4.0,4.0,26.0,12.0,2.0,0.0,1.0,5.0,2.0,0.0,0.0,9.0
2480,15.0,2073.0,21.0,424.0,3.9693396226415096,175.0,184.0,240.0,15.0,0.0,25.0,48.0,30.0,0.0,72.0,32.0,16.0,0.116,0.0,20.0,5.0,10.0,39.0,3.0,2.0,41.0,2.0,7.0,1.0,15.0,5.0,0.0,0.0,6.0,5.0,15.0,7.0,3.0,2.0,22.0,9.0,7.0,0.0,2.0,14.0,4.0,0.0,0.0,7.0
2481,8.0,3101.0,28.0,602.0,4.229235880398671,248.0,246.0,356.0,8.0,0.0,91.0,52.0,27.0,7.0,84.0,38.0,27.0,0.044,2.0,37.0,14.0,10.0,66.0,1.0,5.0,79.0,4.0,1.0,4.0,17.0,3.0,0.0,0.0,7.0,3.0,17.0,6.0,4.0,4.0,18.0,10.0,1.0,0.0,0.0,10.0,9.0,0.0,0.0,24.0
2482,13.0,2761.0,27.0,563.0,3.9928952042628776,200.0,247.0,316.0,13.0,0.0,64.0,65.0,36.0,3.0,104.0,59.0,22.0,0.091,2.0,36.0,13.0,16.0,36.0,7.0,2.0,57.0,4.0,6.0,3.0,17.0,4.0,0.0,0.0,23.0,4.0,17.0,13.0,2.0,2.0,44.0,16.0,6.0,0.0,3.0,15.0,13.0,2.0,0.0,16.0
2483,6.0,1645.0,11.0,342.0,3.7923976608187133,137.0,177.0,165.0,6.0,0.0,23.0,33.0,19.0,4.0,77.0,55.0,11.0,0.08,4.0,14.0,3.0,4.0,18.0,4.0,6.0,44.0,1.0,0.0,1.0,16.0,7.0,0.0,0.0,6.0,7.0,16.0,3.0,3.0,4.0,16.0,4.0,0.0,0.0,1.0,9.0,7.0,0.0,0.0,9.0
2484,17.0,2037.0,20.0,435.0,3.7057471264367816,189.0,190.0,245.0,17.0,0.0,41.0,27.0,30.0,5.0,99.0,44.0,15.0,0.042,2.0,24.0,9.0,19.0,30.0,3.0,4.0,38.0,8.0,3.0,2.0,6.0,4.0,1.0,0.0,12.0,4.0,6.0,1.0,4.0,4.0,27.0,19.0,3.0,0.0,1.0,3.0,5.0,0.0,0.0,37.0
2485,8.0,1409.0,15.0,283.0,4.045936395759718,113.0,112.0,171.0,8.0,0.0,24.0,32.0,20.0,3.0,48.0,28.0,13.0,0.121,3.0,11.0,3.0,14.0,28.0,0.0,7.0,27.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,6.0,1.0,2.0,5.0,3.0,3.0,24.0,14.0,1.0,0.0,0.0,7.0,2.0,0.0,0.0,13.0
2486,18.0,1905.0,23.0,389.0,3.9151670951156814,168.0,179.0,210.0,18.0,0.0,24.0,27.0,23.0,5.0,61.0,45.0,19.0,0.094,0.0,19.0,0.0,6.0,26.0,9.0,5.0,45.0,1.0,4.0,5.0,4.0,3.0,0.0,0.0,11.0,3.0,4.0,11.0,3.0,3.0,15.0,6.0,4.0,0.0,9.0,9.0,9.0,0.0,0.0,4.0
2487,7.0,2279.0,24.0,444.0,4.195945945945946,201.0,188.0,256.0,7.0,0.0,54.0,39.0,22.0,1.0,64.0,28.0,25.0,0.058,1.0,30.0,8.0,9.0,40.0,6.0,3.0,40.0,9.0,1.0,4.0,5.0,7.0,0.0,0.0,4.0,7.0,5.0,3.0,2.0,3.0,26.0,9.0,1.0,2.0,0.0,6.0,12.0,0.0,0.0,13.0
2488,5.0,2561.0,31.0,518.0,4.0,160.0,248.0,270.0,5.0,0.0,34.0,45.0,30.0,1.0,96.0,59.0,19.0,0.041,4.0,22.0,5.0,21.0,40.0,4.0,14.0,43.0,8.0,0.0,1.0,11.0,5.0,0.0,0.0,11.0,5.0,11.0,8.0,17.0,13.0,44.0,20.0,0.0,0.0,6.0,6.0,3.0,0.0,0.0,3.0
2489,7.0,1124.0,12.0,233.0,3.8497854077253217,126.0,119.0,114.0,7.0,0.0,13.0,15.0,15.0,2.0,42.0,21.0,12.0,0.047,0.0,15.0,3.0,9.0,18.0,1.0,3.0,26.0,2.0,0.0,1.0,14.0,3.0,0.0,0.0,4.0,3.0,14.0,4.0,2.0,3.0,19.0,9.0,0.0,0.0,7.0,4.0,5.0,0.0,0.0,9.0
2490,4.0,934.0,13.0,194.0,3.850515463917526,85.0,91.0,103.0,4.0,0.0,11.0,14.0,7.0,4.0,30.0,16.0,14.0,0.029,1.0,2.0,1.0,9.0,15.0,2.0,1.0,28.0,4.0,0.0,0.0,5.0,1.0,1.0,0.0,1.0,1.0,5.0,0.0,1.0,1.0,14.0,9.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,11.0
2491,13.0,1486.0,19.0,326.0,3.5920245398773005,141.0,156.0,170.0,13.0,0.0,45.0,26.0,19.0,0.0,62.0,28.0,13.0,0.068,1.0,17.0,10.0,10.0,26.0,5.0,1.0,38.0,2.0,2.0,2.0,12.0,2.0,0.0,0.0,8.0,2.0,12.0,7.0,1.0,1.0,14.0,8.0,2.0,0.0,3.0,4.0,3.0,0.0,0.0,13.0
2492,20.0,2871.0,35.0,630.0,3.7333333333333334,236.0,228.0,402.0,20.0,0.0,100.0,115.0,44.0,1.0,119.0,65.0,29.0,0.06,10.0,41.0,23.0,18.0,30.0,2.0,7.0,43.0,7.0,5.0,5.0,8.0,11.0,1.0,0.0,21.0,11.0,8.0,11.0,4.0,5.0,43.0,17.0,5.0,0.0,0.0,10.0,6.0,0.0,0.0,15.0
2493,12.0,2182.0,27.0,455.0,3.8725274725274725,193.0,199.0,256.0,12.0,0.0,58.0,42.0,22.0,3.0,75.0,46.0,14.0,0.087,2.0,17.0,15.0,11.0,41.0,6.0,2.0,56.0,6.0,0.0,2.0,9.0,10.0,1.0,0.0,7.0,10.0,9.0,5.0,2.0,2.0,23.0,10.0,0.0,0.0,0.0,8.0,3.0,1.0,0.0,19.0
2494,13.0,2704.0,26.0,566.0,3.8409893992932864,223.0,251.0,315.0,13.0,0.0,39.0,54.0,28.0,16.0,94.0,53.0,38.0,0.04,4.0,33.0,7.0,9.0,33.0,12.0,3.0,40.0,3.0,5.0,0.0,11.0,7.0,0.0,0.0,13.0,7.0,11.0,9.0,4.0,4.0,28.0,9.0,5.0,0.0,0.0,17.0,13.0,1.0,0.0,22.0
2495,21.0,1669.0,5.0,342.0,3.912280701754386,155.0,186.0,156.0,21.0,0.0,9.0,14.0,19.0,0.0,75.0,38.0,14.0,0.087,1.0,20.0,0.0,10.0,23.0,1.0,9.0,48.0,5.0,3.0,1.0,15.0,5.0,0.0,0.0,15.0,5.0,15.0,4.0,9.0,9.0,19.0,10.0,3.0,0.0,2.0,8.0,9.0,0.0,0.0,14.0
2496,12.0,2343.0,25.0,424.0,4.53066037735849,209.0,164.0,260.0,12.0,0.0,29.0,41.0,18.0,5.0,57.0,28.0,14.0,0.118,4.0,33.0,3.0,15.0,44.0,2.0,0.0,50.0,2.0,0.0,10.0,7.0,6.0,1.0,0.0,6.0,6.0,7.0,5.0,2.0,0.0,27.0,15.0,0.0,0.0,0.0,7.0,5.0,0.0,0.0,20.0
2497,9.0,2246.0,22.0,418.0,4.41866028708134,167.0,180.0,238.0,9.0,0.0,24.0,34.0,33.0,5.0,75.0,30.0,26.0,0.151,0.0,43.0,2.0,11.0,16.0,4.0,4.0,42.0,4.0,8.0,4.0,8.0,2.0,0.0,0.0,4.0,2.0,8.0,2.0,3.0,3.0,24.0,11.0,8.0,0.0,1.0,5.0,9.0,0.0,0.0,4.0
2498,11.0,2102.0,14.0,430.0,3.9488372093023254,178.0,207.0,223.0,11.0,0.0,41.0,34.0,38.0,9.0,66.0,42.0,26.0,0.138,5.0,19.0,7.0,16.0,30.0,1.0,2.0,55.0,7.0,1.0,7.0,18.0,2.0,1.0,0.0,15.0,2.0,18.0,6.0,0.0,0.0,35.0,16.0,1.0,0.0,0.0,7.0,17.0,0.0,0.0,15.0
2499,14.0,2242.0,29.0,445.0,4.10561797752809,163.0,179.0,266.0,14.0,0.0,76.0,38.0,17.0,2.0,64.0,21.0,22.0,0.039,3.0,37.0,18.0,8.0,50.0,1.0,5.0,45.0,7.0,0.0,4.0,12.0,1.0,0.0,0.0,9.0,1.0,12.0,2.0,1.0,1.0,20.0,8.0,0.0,0.0,4.0,3.0,8.0,0.0,0.0,10.0
